group_id,age,gender,student,like_wine,wine_knowledge,choose_wine,wine_availability,accept_price,refuse_price,final_price,count_participants
2,24,1,1,5,4,1,20,20,,20,1
1,28,1,1,6,2,1,60,20,,20,1
2,30,1,1,9,4,1,50,20,,20,1
3,48,1,1,8,7,1,40,12,,12,1
1,24,1,1,7,4,2,40,,6,6,1
2,24,2,1,5,7,2,20,,2,2,1
2,24,1,1,5,5,1,10,40,,40,1
2,23,2,1,7,5,2,60,,8,8,1
2,23,1,1,8,3,1,50,13,,13,1
3,22,1,1,8,4,1,70,20,,20,1
3,24,2,1,7,4,2,40,,6,6,1
3,24,1,1,6,2,2,60,,7,7,1
1,24,1,1,8,3,2,30,,3,3,1
1,23,1,1,5,5,2,40,,5,5,1
2,23,1,1,8,4,1,60,16,,16,1
3,24,1,1,10,3,2,20,,5,5,1
2,24,2,2,5,4,2,20,,9,9,1
3,21,1,1,7,6,2,20,,5,5,1
2,23,1,1,6,6,1,50,20,,20,1
2,51,2,2,9,8,1,40,25,,25,1
1,57,1,2,6,5,1,90,25,,25,1
3,28,1,2,8,6,2,10,,5,5,1
1,53,2,2,8,4,2,20,,4,4,1
3,23,2,1,6,2,2,40,,5,5,1
1,19,1,1,6,2,2,30,,9,9,1
3,40,1,2,7,8,1,50,16,,16,1
2,23,1,1,7,8,2,30,,5,5,1
3,24,1,1,9,4,2,50,,9,9,1
1,50,2,2,5,3,2,100,,0,0,1
2,27,2,1,8,1,1,20,30,,30,1
2,59,1,2,7,4,1,40,25,,25,1
2,40,2,2,10,5,2,10,,5,5,1
1,38,1,2,8,7,2,50,,5,5,1
1,22,2,1,9,6,1,30,20,,20,1
3,53,2,2,9,7,1,10,50,,50,1
1,35,1,2,8,8,1,80,40,,40,1
2,26,1,2,6,2,1,30,14,,14,1
3,25,1,1,5,1,2,50,,0,0,1
3,33,2,2,10,5,2,10,,0,0,1
2,22,2,1,5,4,2,60,,7,7,1
2,34,2,2,9,8,1,90,50,,50,1
2,26,2,2,7,4,1,60,20,,20,1
3,24,1,1,6,4,1,80,20,,20,1
3,23,1,1,5,4,2,30,,9,9,1
2,30,2,2,6,6,1,70,20,,20,1
2,24,1,2,8,5,1,50,25,,25,1
2,64,1,2,7,6,1,20,20,,20,1
2,23,1,1,6,2,2,40,,5,5,1
3,49,2,2,7,5,2,10,,5,5,1
3,24,2,1,6,4,1,20,20,,20,1
1,31,1,2,8,7,1,90,40,,40,1
2,37,2,2,10,8,2,20,,2,2,1
3,31,1,2,5,2,2,10,,3,3,1
3,44,1,2,7,2,2,60,,5,5,1
1,48,1,2,7,8,2,50,,7,7,1
2,47,2,2,5,2,2,10,,3,3,1
2,23,1,1,6,6,1,30,30,,30,1
1,39,1,2,8,2,2,20,,5,5,1
1,36,1,2,5,3,2,30,,5,5,1
2,36,1,2,7,4,2,20,,4,4,1
1,37,1,2,7,7,1,30,20,,20,1
2,29,1,2,8,6,2,20,,4,4,1
2,42,1,2,6,6,1,90,20,,20,1
2,56,2,2,5,5,2,50,,8,8,1
1,36,1,2,9,5,2,40,,5,5,1
3,38,1,2,7,6,2,20,,4,4,1
3,23,1,1,5,5,2,50,,5,5,1
3,23,1,1,5,2,2,50,,5,5,1
3,23,2,1,5,3,2,60,,4,4,1
1,22,1,1,8,2,2,30,,5,5,1
2,23,2,1,10,7,1,20,20,,20,1
3,22,1,1,5,2,2,10,,5,5,1
2,35,1,2,5,2,1,50,16,,16,1
1,53,1,2,6,6,1,70,20,,20,1
1,74,2,2,8,6,1,70,16,,16,1
2,32,2,2,7,3,2,30,,5,5,1
3,48,2,2,7,8,2,30,,4,4,1
3,23,1,2,7,7,1,30,25,,25,1
3,22,1,1,7,5,1,60,20,,20,1